,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
529,314756.4660958904,237.55504836291325,156973.9716881648,217862.14349822275,24135.151919187716,0.265923764832733,397183.5322617926,0.2921084441681488,1171242.66089581,106312.5278875038,3532.3685525709975,17589.151999384627,69669.41193510097,24,193726.99157903504,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2010,Aug04v1,CONUS,-1,94,2010,-1,-1,-1,30495.432077126985,156973.9716881648,237.55504836291325,69669.41193510097,-24134.151919187716,24135.151919187716
727,310507.2966894977,0.0,180468.330273998,217862.14349822275,15838.311371237653,0.2715464541660344,397183.5322617926,0.31382565288911207,1171242.66089581,106312.5278875038,2541.129937812532,9830.062162010307,0.0,0,202023.83212698513,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2011,Aug04v1,CONUS,-1,94,2011,-1,-1,-1,27945.896847207336,180468.330273998,0.0,0.0,-15837.311371237653,15838.311371237653
787,304626.139571949,0.0,166350.1035076157,217862.14349822275,17129.57986104083,0.27001853277040194,397183.5322617926,0.29619830568552274,1171242.66089581,106312.5278875038,2881.955045148276,11329.206699503084,0.0,0,200732.56363718194,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2012,Aug04v1,CONUS,-1,94,2012,-1,-1,-1,27972.97474743851,166350.1035076157,0.0,0.0,-17128.57986104083,17129.57986104083
1698,305395.1433789954,0.0,158946.30256036963,217862.14349822275,16229.602452048854,0.2691500907322936,397183.5322617926,0.2916084347454845,1171242.66089581,106312.5278875038,3008.250156051667,11636.274822845116,0.0,0,201632.54104617392,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2013,Aug04v1,CONUS,-1,94,2013,-1,-1,-1,27954.10222117195,158946.30256036963,0.0,0.0,-16228.602452048854,16229.602452048854
741,305191.95707762556,0.0,181860.29554094534,217862.14349822275,16113.121339357987,0.2650796826455621,397183.5322617926,0.3124546051342735,1171242.66089581,106312.5278875038,2755.7234060737746,11253.765485110398,0.0,0,201749.02215886477,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2014,Aug04v1,CONUS,-1,94,2014,-1,-1,-1,27951.659612238822,181860.29554094534,0.0,0.0,-16112.121339357987,16113.121339357987
1597,305580.20993150683,77.44410710307656,141580.46035357544,217862.14349822275,19205.138586301437,0.2605947335874114,397183.5322617926,0.2772280830048403,1171242.66089581,106312.5278875038,2943.6175040695766,12436.69153415486,45725.33366571274,7,198657.00491192134,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2015,Aug04v1,CONUS,-1,94,2015,-1,-1,-1,28790.94028493799,141580.46035357544,77.44410710307656,45725.33366571274,-19204.138586301437,19205.138586301437
555,307092.93522313295,15.654412870113845,163339.98786129593,217862.14349822275,16723.061083163127,0.26490610678651355,397183.5322617926,0.2978223001247438,1171242.66089581,106312.5278875038,3097.6379205734243,12321.344884020611,18077.76935234407,3,201139.08241505967,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2016,Aug04v1,CONUS,-1,94,2016,-1,-1,-1,28120.994177367556,163339.98786129593,15.654412870113845,18077.76935234407,-16722.061083163127,16723.061083163127
148,302036.3121004566,0.0,163899.85630142892,217862.14349822275,17404.28511480434,0.26426189793513105,397183.5322617926,0.293547134797889,1171242.66089581,106312.5278875038,2190.6814340306337,9808.901497092662,0.0,0,200457.85838341844,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2017,Aug04v1,CONUS,-1,94,2017,-1,-1,-1,27978.73531660993,163899.85630142892,0.0,0.0,-17403.28511480434,17404.28511480434
216,312238.38778538816,77.53206955209248,140471.97945241124,217862.14349822275,21656.085404335397,0.26412747334661285,397183.5322617926,0.27867265294554433,1171242.66089581,106312.5278875038,2911.4807517525483,12128.472569027152,52841.97946344013,5,196206.05809388738,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2018,Aug04v1,CONUS,-1,94,2018,-1,-1,-1,28843.216264202325,140471.97945241124,77.53206955209248,52841.97946344013,-21655.085404335397,21656.085404335397
886,308819.6184931507,0.0,150882.05907165084,217862.14349822275,15742.781947140627,0.2641655045338622,397183.5322617926,0.2897661834580256,1171242.66089581,106312.5278875038,3147.058234122399,12166.982429803375,0.0,0,202119.36155108214,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2019,Aug04v1,CONUS,-1,94,2019,-1,-1,-1,27943.893595184025,150882.05907165084,0.0,0.0,-15741.781947140627,15742.781947140627
1112,304589.92076502735,0.0,169562.59136364397,217862.14349822275,14623.390337834959,0.27182205867777515,397183.5322617926,0.3004261049920211,1171242.66089581,106312.5278875038,2752.955694948311,9924.190924093638,0.0,0,203238.75316038783,optimal,nYrs_20210220_SWBNG_DYrs94_Tested2020,Aug04v1,CONUS,-1,94,2020,-1,-1,-1,27920.419953136887,169562.59136364397,0.0,0.0,-14622.390337834959,14623.390337834959
206,301977.5055936073,0.0,198695.43632300087,214979.01878076023,10624.288153744303,0.2674545444406294,445656.42748231447,0.28379868260612123,1308288.1433440945,144309.73135616342,3909.964183131231,17470.073420397937,0.0,0,204354.73062701596,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1979,Aug04v1,CONUS,-1,95,1979,-1,-1,-1,30996.66308745078,198695.43632300087,0.0,0.0,-10623.288153744303,10624.288153744303
174,309578.18920765026,0.0,178969.15662242027,214979.01878076023,12880.677671765976,0.26395246787924637,445656.42748231447,0.27400936253503594,1308288.1433440945,144309.73135616342,4035.9440820103964,18687.63846365925,0.0,0,202098.34110899424,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1980,Aug04v1,CONUS,-1,95,1980,-1,-1,-1,31043.979575643694,178969.15662242027,0.0,0.0,-12879.677671765976,12880.677671765976
1680,302284.44771689497,37.61495612357869,184454.70325760375,214979.01878076023,18180.636808816114,0.25912471314351126,445656.42748231447,0.2701820545982502,1308288.1433440945,144309.73135616342,3919.341388558673,17182.897983421713,64550.25994953915,2,196798.38197194412,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1981,Aug04v1,CONUS,-1,95,1981,-1,-1,-1,31531.269279983422,184454.70325760375,37.61495612357869,64550.25994953915,-18179.636808816114,18180.636808816114
597,299633.2605022831,0.0,193176.00040836423,214979.01878076023,12900.174662090487,0.2566909347760672,445656.42748231447,0.27972785144362056,1308288.1433440945,144309.73135616342,4061.908512587154,16825.462458268208,0.0,0,202078.84411866975,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1982,Aug04v1,CONUS,-1,95,1982,-1,-1,-1,31044.3884275308,193176.00040836423,0.0,0.0,-12899.174662090487,12900.174662090487
1535,305800.8093607306,23.725339952735567,172639.9134082708,214979.01878076023,15380.553084078148,0.25458505936381387,445656.42748231447,0.2675755547752008,1308288.1433440945,144309.73135616342,4380.478620580245,20665.427583036882,15626.597608799493,5,199598.4656966821,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1983,Aug04v1,CONUS,-1,95,1983,-1,-1,-1,31333.65536256724,172639.9134082708,23.725339952735567,15626.597608799493,-15379.553084078148,15380.553084078148
49,300952.78608834243,29.44748109872388,200057.4494492067,214979.01878076023,13602.16623496034,0.2595475552552688,445656.42748231447,0.28445890763276277,1308288.1433440945,144309.73135616342,4000.148566332724,15262.927503151168,33762.7806533325,2,201376.8525457999,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1984,Aug04v1,CONUS,-1,95,1984,-1,-1,-1,31353.584001801115,200057.4494492067,29.44748109872388,33762.7806533325,-13601.16623496034,13602.16623496034
908,304312.90342465753,0.0,201623.31853330886,214979.01878076023,9668.301833157813,0.2627501869639085,445656.42748231447,0.29012179959123024,1308288.1433440945,144309.73135616342,3520.4206980245604,12797.40231652994,0.0,0,205310.71694760243,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1985,Aug04v1,CONUS,-1,95,1985,-1,-1,-1,30976.61605430808,201623.31853330886,0.0,0.0,-9667.301833157813,9668.301833157813
7,301565.7832191781,43.466213637122955,183961.64240279718,214979.01878076023,15160.051246514346,0.2586173468685507,445656.42748231447,0.2717274504417589,1308288.1433440945,144309.73135616342,3853.777000024127,16102.637563259586,42011.8511875789,5,199818.9675342459,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1986,Aug04v1,CONUS,-1,95,1986,-1,-1,-1,31526.440175877397,183961.64240279718,43.466213637122955,42011.8511875789,-15159.051246514346,15160.051246514346
1052,303652.43230593606,9.5786821484253,154861.49461227734,214979.01878076023,15015.768508437895,0.26164664662124054,445656.42748231447,0.2502367280831821,1308288.1433440945,144309.73135616342,4477.082145152088,19878.9377722949,20977.313905051407,1,199963.25027232236,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1987,Aug04v1,CONUS,-1,95,1987,-1,-1,-1,31184.53925197296,154861.49461227734,9.5786821484253,20977.313905051407,-15014.768508437895,15015.768508437895
713,307889.9653916211,19.66357197712939,208692.1857893704,214979.01878076023,14676.97647847572,0.2648600958818636,445656.42748231447,0.293708643783056,1308288.1433440945,144309.73135616342,3657.91805962332,17451.169580427955,17691.510623151262,4,200302.0423022845,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1988,Aug04v1,CONUS,-1,95,1988,-1,-1,-1,31278.283681391687,208692.1857893704,19.66357197712939,17691.510623151262,-14675.97647847572,14676.97647847572
735,304674.93972602737,221.12199657375396,177225.10087572614,214979.01878076023,13509.397887840281,0.2680103812356238,445656.42748231447,0.26686745988252775,1308288.1433440945,144309.73135616342,3693.5134286489897,15438.600687173335,83155.98598010908,12,201469.62089291995,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1989,Aug04v1,CONUS,-1,95,1989,-1,-1,-1,33268.38380431232,177225.10087572614,221.12199657375396,83155.98598010908,-13508.397887840281,13509.397887840281
1621,298942.67237442924,0.0,204346.5506372424,214979.01878076023,10321.007615406494,0.2638806293628622,445656.42748231447,0.28719262977639115,1308288.1433440945,144309.73135616342,3261.9550628949737,14049.738247073084,0.0,0,204658.01116535376,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1990,Aug04v1,CONUS,-1,95,1990,-1,-1,-1,30990.303294561836,204346.5506372424,0.0,0.0,-10320.007615406494,10321.007615406494
38,304121.599086758,3.7743827757174038,185835.94956456646,214979.01878076023,12848.143473662449,0.26104045964163736,445656.42748231447,0.27603138109639325,1308288.1433440945,144309.73135616342,3214.317368671038,14812.412118698077,8265.898278821114,1,202130.87530709777,optimal,nYrs_20210220_SWBNG_DYrs95_Tested1991,Aug04v1,CONUS,-1,95,1991,-1,-1,-1,31081.041161266636,185835.94956456646,3.7743827757174038,8265.898278821114,-12847.143473662449,12848.143473662449
