,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3269,303849.33264887065,0,0.26598002204893834,1454206.4864879164,0.29443489419651736,1276924.625880902,4945641.589556517,optimal,nYrs_20210220_SWB_iter00073,Jan29v1,CONUS,4,96-86-11-09,-1,-1,-1,78303.515697356,457476.3595553354,0.0,0.0,1.0,0.0
3421,302177.62044003647,0,0.26192784378350603,1454206.4864879155,0.2850560279070887,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00232,Jan29v1,CONUS,4,96-86-93-84,-1,-1,-1,78303.515697356,440979.249443053,0.0,0.0,1.0,0.0
3376,305865.68811232626,0,0.26425683233205455,1454206.4864879155,0.2796868720556858,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00430,Jan29v1,CONUS,4,96-87-80-88,-1,-1,-1,78303.51569735598,433227.1830458914,0.0,0.0,1.0,0.0
3346,306107.7674252795,0,0.26594505300248,1262795.8805742073,0.28968430514095916,1559019.9971263325,4756536.746517325,optimal,nYrs_20210220_SWB_iter00464,Jan29v1,CONUS,4,96-89-14-18,-1,-1,-1,78594.24407342191,480347.2595682392,0.0,0.0,1.0,0.0
3199,302632.24333105335,0,0.26436029912140785,1454206.4864879155,0.2911964217704088,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00289,Jan29v1,CONUS,4,96-90-84-07,-1,-1,-1,78303.515697356,451935.00550926465,0.0,0.0,1.0,0.0
3621,304644.4982615139,0,0.26693443181036863,1454206.4864879155,0.29693199295761297,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00109,Jan29v1,CONUS,4,96-93-08-07,-1,-1,-1,78303.515697356,461118.7152233256,0.0,0.0,1.0,0.0
3659,300645.8278005932,0,0.26331088960528826,1454206.4864879155,0.28645864510307556,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00448,Jan29v1,CONUS,4,96-94-86-97,-1,-1,-1,78303.515697356,446422.7868986707,0.0,0.0,1.0,0.0
3309,301736.0978211271,0,0.26626981523430915,760095.8348372205,0.2953471939978766,2301266.346921732,1722027.717560578,optimal,nYrs_20210220_SWB_iter00295,Jan29v1,CONUS,4,97-09-99-16,-1,-1,-1,60726.58363040882,579439.7885131112,0.0,0.0,1.0,0.0
3302,303813.15456621005,0,0.2659428153415007,644965.4334836461,0.29114689304029445,2497410.3378763376,2316893.4009912736,optimal,nYrs_20210220_SWB_iter00288,Jan29v1,CONUS,4,97-10-09-09,-1,-1,-1,66533.22031886523,594224.948436615,0.0,0.0,1.0,0.0
3552,304470.69501483004,0,0.2637692984734103,1454206.4864879155,0.28815058974713137,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00278,Jan29v1,CONUS,4,97-10-96-81,-1,-1,-1,78303.515697356,444816.35073224484,0.0,0.0,1.0,0.0
3357,302934.4299372146,0,0.26570832501860686,557354.4714235946,0.27952667624339955,2766845.411400628,2150772.243197227,optimal,nYrs_20210220_SWB_iter00345,Jan29v1,CONUS,4,97-79-89-05,-1,-1,-1,68326.54874697885,618292.8457068204,0.0,0.0,1.0,0.0
3589,303092.37696783023,0,0.26349826250640795,710980.3037375717,0.27938513181626073,2542010.6437823614,1499029.264052194,optimal,nYrs_20210220_SWB_iter00431,Jan29v1,CONUS,4,97-80-81-79,-1,-1,-1,62212.543886617466,593982.1472502358,0.0,0.0,1.0,0.0
3331,304382.5038527397,0,0.2639907756452092,644965.4334836458,0.28391358425829316,2497410.3378763385,2316893.400991273,optimal,nYrs_20210220_SWB_iter00084,Jan29v1,CONUS,4,97-81-10-79,-1,-1,-1,66533.22031886523,574097.6271262482,0.0,0.0,1.0,0.0
3417,301644.8397545662,0,0.260985415386394,855682.8620165219,0.2838615469479741,1632763.5417549908,2664519.0041411566,optimal,nYrs_20210220_SWB_iter00412,Jan29v1,CONUS,4,97-82-85-91,-1,-1,-1,58372.53770636188,384481.38912648294,0.0,0.0,1.0,0.0
3431,304037.6512588289,0,0.2629662151817792,804784.1273608987,0.286461811717846,2029111.4901652324,2059977.3395289734,optimal,nYrs_20210220_SWB_iter00023,Jan29v1,CONUS,4,97-84-80-16,-1,-1,-1,59517.42237312297,487683.4717579725,0.0,0.0,1.0,0.0
3548,303636.644750342,0,0.26237113021127045,1454206.4864879155,0.2879031605255609,1276924.6258809038,4945641.589556515,optimal,nYrs_20210220_SWB_iter00352,Jan29v1,CONUS,4,97-88-83-96,-1,-1,-1,78303.515697356,443849.5429098947,0.0,0.0,1.0,0.0
3599,301741.578599133,0,0.26401112002654203,761500.2219921892,0.2915979681438086,2403107.807022277,1656020.3237788368,optimal,nYrs_20210220_SWB_iter00365,Jan29v1,CONUS,4,97-88-97-17,-1,-1,-1,61891.67757761527,599845.2744373399,0.0,0.0,1.0,0.0
3362,302010.3422089041,0,0.2653926207261702,881077.631051255,0.2952052063292004,1679869.1611448652,2343519.7697933195,optimal,nYrs_20210220_SWB_iter00119,Jan29v1,CONUS,4,97-90-13-14,-1,-1,-1,57142.72582585732,426984.68362194434,0.0,0.0,1.0,0.0
3627,302398.53042237443,0,0.2630669943516112,883714.7204889456,0.2822331054860723,2274906.08024415,2150839.5794214075,optimal,nYrs_20210220_SWB_iter00115,Jan29v1,CONUS,4,97-91-86-13,-1,-1,-1,65286.14605589014,571335.4728539946,0.0,0.0,1.0,0.0
3408,300554.30585045664,0,0.2638655627925899,795445.7308593809,0.2850461708507728,2195783.359553536,1710153.9242239778,optimal,nYrs_20210220_SWB_iter00217,Jan29v1,CONUS,4,97-94-90-95,-1,-1,-1,59474.761912621645,534991.1860466979,0.0,0.0,1.0,0.0
3482,304160.9098267214,0,0.2658852913850547,698691.4918786265,0.284662883633885,2220094.0539651425,1925910.7389225306,optimal,nYrs_20210220_SWB_iter00280,Jan29v1,CONUS,4,98-07-20-84,-1,-1,-1,60017.58287432655,512489.1935170778,0.0,0.0,1.0,0.0
3440,302979.24706452346,0,0.26471490508903894,531003.367867972,0.27762330711405075,2301301.269942458,2171333.404562511,optimal,nYrs_20210220_SWB_iter00460,Jan29v1,CONUS,4,98-09-80-04,-1,-1,-1,60638.970687059766,475624.7863878427,0.0,0.0,1.0,0.0
3640,303385.397073922,0,0.26321399101319237,595441.2018997383,0.28446485130189647,2427366.2727005375,1755676.498505678,optimal,nYrs_20210220_SWB_iter00400,Jan29v1,CONUS,4,98-14-95-84,-1,-1,-1,60554.612415341464,543591.772517917,0.0,0.0,1.0,0.0
3597,304972.12502849975,0,0.26764891105097416,701449.3300775703,0.2878071240733435,1704246.6599367633,2483642.9365117494,optimal,nYrs_20210220_SWB_iter00454,Jan29v1,CONUS,4,98-16-13-20,-1,-1,-1,55904.17222749761,372370.0349945971,0.0,0.0,1.0,0.0
3527,304497.3515981735,0,0.2641979889154824,621049.5048482883,0.2776518983721621,2576629.2278548707,1580367.8337102772,optimal,nYrs_20210220_SWB_iter00371,Jan29v1,CONUS,4,98-17-05-05,-1,-1,-1,62033.303895203135,574646.5448716271,0.0,0.0,1.0,0.0
3265,302024.4063356164,0,0.26390154588006953,761886.1984567833,0.283042802301919,1834480.9092187586,2310593.816826575,optimal,nYrs_20210220_SWB_iter00218,Jan29v1,CONUS,4,98-90-85-17,-1,-1,-1,57610.47483833586,417818.57657382026,0.0,0.0,1.0,0.0
3251,303699.7472051107,0,0.2634080892479952,1265698.804751686,0.2804619549472237,1578420.3487653178,3502278.1687895753,optimal,nYrs_20210220_SWB_iter00060,Jan29v1,CONUS,4,98-97-15-88,-1,-1,-1,69728.81243117341,471319.71901849646,0.0,0.0,1.0,0.0
3321,301525.14412100456,0,0.2650853907803362,875199.742923806,0.2739957820877762,1660440.7383046942,2439496.845413996,optimal,nYrs_20210220_SWB_iter00444,Jan29v1,CONUS,4,98-97-79-98,-1,-1,-1,57450.309821940304,384298.0757454068,0.0,0.0,1.0,0.0
3430,301272.608533105,0,0.26484439503681145,883714.7204889456,0.279416181424142,2274906.08024415,2150839.5794214075,optimal,nYrs_20210220_SWB_iter00418,Jan29v1,CONUS,4,99-01-86-98,-1,-1,-1,65286.14605589014,568003.0791202219,0.0,0.0,1.0,0.0
3257,304514.0691307324,0,0.26763206884130497,469214.33817127213,0.29818861907876326,3244946.8874959,1240109.7820822287,optimal,nYrs_20210220_SWB_iter00131,Jan29v1,CONUS,4,99-02-11-84,-1,-1,-1,67978.32930317361,788632.377950669,0.0,0.0,1.0,0.0
3179,301709.8505874972,0,0.264136630840273,813677.9243923546,0.28638906521638846,1648504.0839842411,2615746.678132389,optimal,nYrs_20210220_SWB_iter00150,Jan29v1,CONUS,4,99-04-91-93,-1,-1,-1,57644.23670902777,384473.3984784611,0.0,0.0,1.0,0.0
3273,303388.1808977869,0,0.26568624176044287,1454206.4864879164,0.2928171696884307,1276924.6258809024,4945641.589556517,optimal,nYrs_20210220_SWB_iter00257,Jan29v1,CONUS,4,99-05-85-96,-1,-1,-1,78303.515697356,455557.2544991534,0.0,0.0,1.0,0.0
3429,306908.2451484018,0,0.26781380473088334,644965.4334836458,0.3005046961955989,2497410.3378763385,2316893.400991273,optimal,nYrs_20210220_SWB_iter00173,Jan29v1,CONUS,4,99-10-11-17,-1,-1,-1,66533.22031886523,615954.1074982997,0.0,0.0,1.0,0.0
