Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1372,312238.38778538816,818.0345399110556,370688.6010878931,0,0.0,0.26412747334661285,523849.8449524247,0.27867265294554433,1952456.962999524,1904329.033680045,3139.927740861845,149616.71193996177,167379.26231088347,29,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2018,Aug04v1,CONUS,-1,94,2018,-1,-1,-1,61169.452909947155,370688.6010878931,818.0345399110556,167379.26231088347,1.0,0.0
1609,308819.6184931507,41.77739976586261,395157.96754073,0,0.0,0.2641655045338622,523849.8449524247,0.2897661834580256,1952456.962999524,1904329.033680045,1826.3595351969595,29128.94129434549,85105.81235004331,3,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2019,Aug04v1,CONUS,-1,94,2019,-1,-1,-1,53406.881508495215,395157.96754073,41.77739976586261,85105.81235004331,1.0,0.0
211,304589.9207650273,7.754962141078996,424155.0402988349,0,0.0,0.27182205867777515,523849.8449524247,0.3004261049920211,1952456.962999524,1904329.033680045,2023.0080401730795,89917.07826668285,17029.896861809484,1,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2020,Aug04v1,CONUS,-1,94,2020,-1,-1,-1,53066.65713224738,424155.0402988349,7.754962141078996,17029.896861809484,1.0,0.0
1181,301977.5055936073,0.0,540764.5138440824,0,0.0,0.2674545444406294,810994.378735487,0.28379868260612123,2205685.8626639843,1533299.8120362868,1186.4564544585699,92361.86696945227,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1979,Aug04v1,CONUS,-1,95,1979,-1,-1,-1,58563.444226375665,540764.5138440824,0.0,0.0,1.0,0.0
207,309578.18920765026,28.888952756877273,508662.4830075365,0,0.0,0.2639524678792464,810994.378735487,0.27400936253503594,2205685.8626639843,1533299.8120362868,2067.0010783051084,98535.20572403727,63440.1402541025,1,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1980,Aug04v1,CONUS,-1,95,1980,-1,-1,-1,58852.33375394443,508662.4830075365,28.888952756877273,63440.1402541025,1.0,0.0
1548,302284.44771689497,116.06070422623873,503531.3121545981,0,0.0,0.2591247131435113,810994.378735487,0.2701820545982502,2205685.8626639843,1533299.8120362868,3460.979244028249,105435.63891553154,83794.632631773,5,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1981,Aug04v1,CONUS,-1,95,1981,-1,-1,-1,59724.051268638046,503531.3121545981,116.06070422623873,83794.632631773,1.0,0.0
1178,299633.2605022831,0.0,525349.7497899919,0,0.0,0.2566909347760672,810994.378735487,0.27972785144362056,2205685.8626639843,1533299.8120362868,1643.65708243518,93027.71907829435,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1982,Aug04v1,CONUS,-1,95,1982,-1,-1,-1,58563.444226375665,525349.7497899919,0.0,0.0,1.0,0.0
697,305800.8093607306,45.37927602524425,490642.965559028,0,0.0,0.2545850593638139,810994.378735487,0.2675755547752008,2205685.8626639843,1533299.8120362868,2299.5288117043565,69441.40731811879,61422.45855441582,3,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1983,Aug04v1,CONUS,-1,95,1983,-1,-1,-1,59017.236986628115,490642.965559028,45.37927602524425,61422.45855441582,1.0,0.0
362,300952.7860883425,0.0,536711.55277623,0,0.0,0.2595475552552688,810994.378735487,0.2844589076327628,2205685.8626639843,1533299.8120362868,2278.8832237331108,94616.03991377498,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1984,Aug04v1,CONUS,-1,95,1984,-1,-1,-1,58563.44422637567,536711.55277623,0.0,0.0,1.0,0.0
1159,304312.90342465753,5.7686873777677805,548457.4539823546,0,0.0,0.2627501869639085,810994.378735487,0.29012179959123024,2205685.8626639843,1533299.8120362868,2170.096097322692,68934.6191133642,12633.42535731144,1,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1985,Aug04v1,CONUS,-1,95,1985,-1,-1,-1,58621.13110015332,548457.4539823546,5.7686873777677805,12633.42535731144,1.0,0.0
1506,301565.7832191781,280.1067007826859,507533.2281813636,0,0.0,0.2586173468685507,810994.378735487,0.2717274504417589,2205685.8626639843,1533299.8120362868,2364.4893461075753,88627.75028538193,120110.687554495,8,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1986,Aug04v1,CONUS,-1,95,1986,-1,-1,-1,61364.51123420253,507533.2281813636,280.1067007826859,120110.687554495,1.0,0.0
1487,303652.4323059361,163.63373950671567,460410.55514876347,0,0.0,0.2616466466212405,810994.378735487,0.2502367280831821,2205685.8626639843,1533299.8120362868,2137.4490778987642,65251.80013207613,126423.13793859912,4,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1987,Aug04v1,CONUS,-1,95,1987,-1,-1,-1,60199.78162144281,460410.55514876347,163.63373950671567,126423.13793859912,1.0,0.0
82,307889.9653916211,126.47398942186899,554588.1333317553,0,0.0,0.2648600958818636,810994.378735487,0.29370864378305606,2205685.8626639843,1533299.8120362868,2484.68890253618,121587.06164693474,90162.97227531923,5,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1988,Aug04v1,CONUS,-1,95,1988,-1,-1,-1,59828.184120594364,554588.1333317553,126.47398942186899,90162.97227531923,1.0,0.0
1666,304674.93972602737,435.0851723436592,501548.12616334774,0,0.0,0.2680103812356238,810994.378735487,0.2668674598825277,2205685.8626639843,1533299.8120362868,1724.8692483754455,95691.33410392836,219058.61969211602,7,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1989,Aug04v1,CONUS,-1,95,1989,-1,-1,-1,62914.29594981224,501548.12616334774,435.0851723436592,219058.61969211602,1.0,0.0
110,298942.67237442924,0.0,548385.8178062063,0,0.0,0.2638806293628622,810994.378735487,0.28719262977639115,2205685.8626639843,1533299.8120362868,1197.7900736953745,76721.664575352,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs95_Tested1990,Aug04v1,CONUS,-1,95,1990,-1,-1,-1,58563.444226375665,548385.8178062063,0.0,0.0,1.0,0.0
