Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,to_PGP capacity,to_PGP dispatch,PGP_storage capacity,PGP_storage dispatch,PGP_storage stored,from_PGP capacity,from_PGP dispatch,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
26,304589.9207650273,0.0,83964.36507295088,0,0.0,0.27182205867777515,414846.64055313147,0.3004261049920211,987897.7919546028,289227.5661441207,7709.134559791566,82897.35358947706,66054.77668462595,27646.83903498214,134724009.09325358,27646.440177380744,34987508.96100642,232953.92373452405,19352.508124166525,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2020,Aug04v1,CONUS,-1,7,2020,-1,-1,-1,40480.01778386419,83964.36507295088,0.0,0.0,1.0,0.0
686,309578.18920765026,3541.191997199021,60067.821680411624,0,0.0,0.2639524678792464,263683.0420636543,0.27400936253503594,1167903.2275580324,378589.05472360353,10735.761683312932,90971.95453944834,55276.22508660705,30631.518863141664,138080314.52648455,30631.137406927817,33461071.39125436,203563.56209345488,21441.796184849474,239290.63886454323,94,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1980,Aug04v1,CONUS,-1,79,1980,-1,-1,-1,75112.81747574046,60067.821680411624,3541.191997199021,239290.63886454323,1.0,0.0
699,302284.44771689497,14101.076707503416,73903.73671788635,0,0.0,0.2591247131435113,263683.0420636543,0.2701820545982502,1167903.2275580324,378589.05472360353,7324.9067012817295,73029.03296206928,55276.22508660705,28784.07637398667,138080314.52648455,28783.7436570395,29185697.12023153,203563.56209345488,20148.620559927647,255705.3249992848,311,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1981,Aug04v1,CONUS,-1,79,1981,-1,-1,-1,180711.66143816628,73903.73671788635,14101.076707503416,255705.3249992848,1.0,0.0
368,299633.2605022831,5900.815387342028,79177.31208964992,0,0.0,0.2566909347760672,263683.0420636543,0.27972785144362056,1167903.2275580324,378589.05472360353,6103.444942844529,93097.63414741916,55276.22508660705,28536.302211283182,138080314.52648455,28535.701567538934,52688047.81070415,203563.56209345488,19974.99109727725,242230.6246786824,150,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1982,Aug04v1,CONUS,-1,79,1982,-1,-1,-1,98709.04781514876,79177.31208964992,5900.815387342028,242230.6246786824,1.0,0.0
457,305800.8093607306,10385.976476407886,62434.3368610568,0,0.0,0.2545850593638139,263683.0420636543,0.2675755547752008,1167903.2275580324,378589.05472360353,10674.406202239488,95030.4543342434,55276.22508660705,28268.384545781337,138080314.52648455,28267.94330325366,38705484.88517368,203563.56209345488,19787.560312277565,292331.7949263269,188,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1983,Aug04v1,CONUS,-1,79,1983,-1,-1,-1,143560.65825045892,62434.3368610568,10385.976476407886,292331.7949263269,1.0,0.0
356,300952.7860883425,5437.445786110639,82241.80468019191,0,0.0,0.2595475552552688,263683.0420636543,0.2844589076327628,1167903.2275580324,378589.05472360353,5934.698496410864,87177.6257178539,55276.22508660705,30526.672497580013,138080314.52648455,30526.13063475088,47531827.12175677,203563.56209345488,21368.29144432561,235935.48008844684,133,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1984,Aug04v1,CONUS,-1,79,1984,-1,-1,-1,94075.35518650556,82241.80468019191,5437.445786110639,235935.48008844684,1.0,0.0
794,304312.90342465753,13.608846176254994,82310.18154319342,0,0.0,0.2627501869639085,263683.0420636543,0.29012179959123024,1167903.2275580324,378589.05472360353,6239.261895679688,123547.54324030438,55276.22508660705,28566.221972133844,138080314.52648455,28565.762852196305,40273678.80411337,203563.56209345488,19996.03399653741,29803.373125998438,1,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1985,Aug04v1,CONUS,-1,79,1985,-1,-1,-1,39836.982454453704,82310.18154319342,13.608846176254994,29803.373125998438,1.0,0.0
814,301565.7832191781,8417.046461289281,70529.38835304209,0,0.0,0.2586173468685507,263683.0420636543,0.2717274504417589,1167903.2275580324,378589.05472360353,7453.622495741439,84019.78355816612,55276.22508660705,28874.163030676544,138080314.52648455,28873.81161592542,30825855.36354347,203563.56209345488,20211.668131147795,258124.35798987004,210,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1986,Aug04v1,CONUS,-1,79,1986,-1,-1,-1,123871.35912915914,70529.38835304209,8417.046461289281,258124.35798987004,1.0,0.0
241,303652.4323059361,12126.752855046729,49762.609288303946,0,0.0,0.2616466466212405,263683.0420636543,0.2502367280831821,1167903.2275580324,378589.05472360353,6215.3408103099655,79938.37902815391,55276.22508660705,26440.83130449169,138080314.52648455,26440.457724705077,32770156.72339076,203563.56209345488,18508.32040729356,229511.96253530844,271,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1987,Aug04v1,CONUS,-1,79,1987,-1,-1,-1,160968.41893005426,49762.609288303946,12126.752855046729,229511.96253530844,1.0,0.0
1196,307889.9653916211,6947.044016763083,89002.28018757523,0,0.0,0.2648600958818636,263683.0420636543,0.29370864378305606,1167903.2275580324,378589.05472360353,7292.916581859528,115253.94749396473,55276.22508660705,30340.503226815654,138080314.52648455,30339.99060783497,44966577.31743643,203563.56209345488,21237.99342548448,284566.8103754225,155,0.0,optimal,nYrs_20210220_SWBPGP_DYrs79_Tested1988,Aug04v1,CONUS,-1,79,1988,-1,-1,-1,109171.33717656268,89002.28018757523,6947.044016763083,284566.8103754225,1.0,0.0
