,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3709,303294.96384580294,264943.15136190807,0.2642672488368393,408843.52768087445,0.2873102552931706,1243039.205999148,87470.65008221308,optimal,nYrs_20210220_SWBNG_iter00101,Jan29v1,CONUS,15,16-91-13-01-08-82-11-92-17-93-97-10-92-00-07,-1,-1,-1,29593.26378449644,176919.83393110565,0.0,0.0,-15172.049999999961,15173.049999999961
3738,303836.4003848026,269435.7728598123,0.26368680952264867,414148.51776649326,0.2820287700401235,1285205.2382379672,58525.838673109654,optimal,nYrs_20210220_SWBNG_iter00058,Jan29v1,CONUS,15,16-91-92-20-91-81-91-07-04-01-97-95-07-18-05,-1,-1,-1,30179.349097205006,182911.20111854057,0.0,0.0,-15172.050000000001,15173.050000000001
3791,303158.4051356943,330634.60552183026,0.2652580494336442,439745.2012362531,0.28431106194452516,1212623.0568645792,142063.1483290822,optimal,nYrs_20210220_SWBNG_iter00116,Jan29v1,CONUS,15,17-13-98-79-20-86-87-09-09-94-96-05-16-06-15,-1,-1,-1,30632.838905092107,173157.5149804375,0.0,0.0,-15172.049999999941,15173.049999999941
3737,304793.2677995742,247877.47604376913,0.26602841821129547,439140.60651188385,0.28972841155822815,1212363.109308757,109634.56635152623,optimal,nYrs_20210220_SWBNG_iter00147,Jan29v1,CONUS,15,17-20-88-04-07-18-07-90-19-98-05-08-85-08-01,-1,-1,-1,29540.306309845797,178276.57667506454,0.0,0.0,-15172.049999999997,15173.049999999997
3745,304987.66976998904,272851.22041414876,0.26544397193349206,418923.9179190707,0.29082555671745763,1246750.5879423956,53891.95709010969,optimal,nYrs_20210220_SWBNG_iter00037,Jan29v1,CONUS,15,17-84-18-19-11-81-19-02-07-12-85-08-17-97-03,-1,-1,-1,29635.40338312789,183881.5576818543,0.0,0.0,-15172.049999999976,15173.049999999976
3815,303422.6141251445,330067.9503136826,0.2650171815622255,441945.9735877649,0.28609153295734807,1220699.4248653918,142852.40421174446,optimal,nYrs_20210220_SWBNG_iter00074,Jan29v1,CONUS,15,18-11-86-99-86-98-90-92-01-86-07-08-12-96-07,-1,-1,-1,30794.67423746667,171659.59488747217,0.0,0.0,-15172.050000000001,15173.050000000001
3755,304093.72301551094,288767.0255255274,0.26537460525230167,419259.02710575826,0.28366622324528923,1270477.0932413074,74815.2625829296,optimal,nYrs_20210220_SWBNG_iter00053,Jan29v1,CONUS,15,18-92-08-11-09-12-02-08-80-81-89-01-87-95-82,-1,-1,-1,30335.52852369013,182604.5541069885,0.0,0.0,-15172.049999999996,15173.049999999996
3771,303879.08914233575,291976.7306335048,0.2661471222802277,416678.3430656547,0.2861465877881005,1244057.707644454,66206.1525039176,optimal,nYrs_20210220_SWBNG_iter00005,Jan29v1,CONUS,15,18-95-01-20-12-80-08-94-20-82-89-86-02-09-94,-1,-1,-1,29843.968072396383,175248.40906207982,0.0,0.0,-15172.049999999983,15173.049999999983
3784,304193.0431879031,331002.3865100672,0.2654108035673067,435841.8210824059,0.2883980359417956,1211568.3018166737,140784.91782760253,optimal,nYrs_20210220_SWBNG_iter00038,Jan29v1,CONUS,15,19-05-06-85-83-02-08-02-81-17-89-16-01-99-96,-1,-1,-1,30552.53562714349,174852.3937461945,0.0,0.0,-15172.049999999866,15173.049999999866
3779,304144.58337134344,330568.3042477638,0.2631817196691079,425628.3832440123,0.2825191567903733,1237886.0504557164,137706.86191634327,optimal,nYrs_20210220_SWBNG_iter00042,Jan29v1,CONUS,15,19-86-80-96-94-93-87-85-13-84-16-06-81-80-84,-1,-1,-1,30795.42535954784,166457.4464068983,0.0,0.0,-15172.049999999981,15173.049999999981
3698,305155.8165039241,264343.05874818086,0.2652539692311264,417672.376967016,0.2863393980779936,1248433.1813053815,88297.0377774438,optimal,nYrs_20210220_SWBNG_iter00118,Jan29v1,CONUS,15,19-90-98-85-02-97-80-98-00-80-17-10-11-17-00,-1,-1,-1,29810.209460941318,178140.86533746062,0.0,0.0,-15172.049999999997,15173.049999999997
3795,302922.075591653,331454.9361257179,0.2641695246589133,424367.3686009408,0.28549372856925703,1221556.8967737814,137147.3768572975,optimal,nYrs_20210220_SWBNG_iter00027,Jan29v1,CONUS,15,20-09-96-97-91-83-83-95-13-00-95-02-04-90-94,-1,-1,-1,30520.394665444932,172878.986160016,0.0,0.0,-15172.049999999987,15173.049999999987
3723,302989.6079849702,263669.42090421956,0.262442292118582,418322.5305688735,0.275710242808127,1308733.0226371512,89383.79921059293,optimal,nYrs_20210220_SWBNG_iter00031,Jan29v1,CONUS,15,79-09-86-04-88-81-87-86-13-93-87-88-81-82-87,-1,-1,-1,30785.77059144869,182453.28867643853,0.0,0.0,-15172.049999999983,15173.049999999983
3746,304100.9235236879,331258.1653741359,0.2661059123122264,439057.9352559437,0.29076691429684626,1201823.7838604252,141544.38115748513,optimal,nYrs_20210220_SWBNG_iter00139,Jan29v1,CONUS,15,79-18-13-17-98-14-79-12-00-96-01-16-88-17-96,-1,-1,-1,30452.403410954903,174046.2156080289,0.0,0.0,-15172.050000000041,15173.050000000041
3801,305187.7071237295,238022.0445144485,0.2657510058622066,429975.4672921313,0.2899553305609946,1198638.5990541424,148651.420285483,optimal,nYrs_20210220_SWBNG_iter00086,Jan29v1,CONUS,15,80-14-99-79-83-11-19-98-03-85-11-85-05-08-79,-1,-1,-1,29371.68146669034,165003.05826378893,0.0,0.0,-15172.049999999941,15173.049999999941
3693,304076.46880322386,329986.4438447227,0.26465358049480886,437128.041193311,0.28123513350065127,1230547.4759937706,141376.88350873507,optimal,nYrs_20210220_SWBNG_iter00113,Jan29v1,CONUS,15,80-20-96-80-09-14-01-94-06-80-83-98-87-17-98,-1,-1,-1,30869.264214245013,169706.79915058316,0.0,0.0,-15172.049999999977,15173.049999999977
3752,304434.04323239694,290281.2861171794,0.26373410764431393,396488.30959436926,0.2798994083789239,1287354.9752277297,57746.79551801862,optimal,nYrs_20210220_SWBNG_iter00104,Jan29v1,CONUS,15,80-91-93-04-00-79-87-80-89-85-88-86-83-20-00,-1,-1,-1,30158.504481794313,173032.91685031558,0.0,0.0,-15172.049999999992,15173.049999999992
3707,304480.25054764515,292162.9269046029,0.26568838193438904,414483.9509919749,0.2871580400747592,1251897.5575816128,60372.47288896332,optimal,nYrs_20210220_SWBNG_iter00057,Jan29v1,CONUS,15,81-02-16-17-80-93-11-99-09-97-06-19-03-80-89,-1,-1,-1,29895.943469190453,180206.86273208333,0.0,0.0,-15172.050000000014,15173.050000000014
