Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,wind
2019,9,1,1,0.4449935695851699
2019,9,1,2,0.4324301793469941
2019,9,1,3,0.41369980349366337
2019,9,1,4,0.3975301744571671
2019,9,1,5,0.36035419245663586
2019,9,1,6,0.28589726866310944
2019,9,1,7,0.24502116055554468
2019,9,1,8,0.22138166903833006
2019,9,1,9,0.19073938310235303
2019,9,1,10,0.1595351601616461
2019,9,1,11,0.13637157725624222
2019,9,1,12,0.12557818947157462
2019,9,1,13,0.12468259036500699
2019,9,1,14,0.1324191332356213
2019,9,1,15,0.15056258163405992
2019,9,1,16,0.2067263121738411
2019,9,1,17,0.2879723843011777
2019,9,1,18,0.3430510543498275
2019,9,1,19,0.38062002196253114
2019,9,1,20,0.39890089809141066
2019,9,1,21,0.40422608267599786
2019,9,1,22,0.40115543489523264
2019,9,1,23,0.39282415763839557
2019,9,1,24,0.3797280194895394
2019,9,2,1,0.36512424607630156
2019,9,2,2,0.34910276396985
2019,9,2,3,0.3331479225847521
2019,9,2,4,0.32865272995565514
2019,9,2,5,0.3156254574956167
2019,9,2,6,0.26997111784401556
2019,9,2,7,0.22987681359836956
2019,9,2,8,0.204007587426046
2019,9,2,9,0.1831815332132584
2019,9,2,10,0.16040297974843665
2019,9,2,11,0.14229937011866325
2019,9,2,12,0.13360784777515636
2019,9,2,13,0.13222188323762238
2019,9,2,14,0.13786000768216516
2019,9,2,15,0.15253789923727196
2019,9,2,16,0.20136035433379537
2019,9,2,17,0.27805567427971817
2019,9,2,18,0.33291502274817464
2019,9,2,19,0.37754541649910733
2019,9,2,20,0.4018440464268527
2019,9,2,21,0.4112318779017582
2019,9,2,22,0.40948421353151426
2019,9,2,23,0.4043075637547278
2019,9,2,24,0.3970810558060159
2019,9,3,1,0.3897484891486352
2019,9,3,2,0.37905485332001293
2019,9,3,3,0.36908099590338805
2019,9,3,4,0.3687479047619094
2019,9,3,5,0.3620469223461275
2019,9,3,6,0.32370626342866193
2019,9,3,7,0.2688052066066889
2019,9,3,8,0.2425892539879752
2019,9,3,9,0.23046361041430882
2019,9,3,10,0.20931496937239694
2019,9,3,11,0.1916793100389763
2019,9,3,12,0.183859247028783
2019,9,3,13,0.1831570536320844
2019,9,3,14,0.18859279139974572
2019,9,3,15,0.2021547025756249
2019,9,3,16,0.25083262712982973
2019,9,3,17,0.31646206213990447
2019,9,3,18,0.35881945960453704
2019,9,3,19,0.39280322685059815
2019,9,3,20,0.41501593190480013
2019,9,3,21,0.4272705506362406
2019,9,3,22,0.43634024841954794
2019,9,3,23,0.43683997911008016
2019,9,3,24,0.4321175955750645
2019,9,4,1,0.4201822395122019
2019,9,4,2,0.40592587861050744
2019,9,4,3,0.38873785255381255
2019,9,4,4,0.3785784847202912
2019,9,4,5,0.3632580452598567
2019,9,4,6,0.3092797774670869
2019,9,4,7,0.2564401299356252
2019,9,4,8,0.23022671332522945
2019,9,4,9,0.21689467446366864
2019,9,4,10,0.19874165597474708
2019,9,4,11,0.18078015924206703
2019,9,4,12,0.17161800348962428
2019,9,4,13,0.17049617693365432
2019,9,4,14,0.17716498440807416
2019,9,4,15,0.19400007761372862
2019,9,4,16,0.2413051547109855
2019,9,4,17,0.32183496225124913
2019,9,4,18,0.38246081099582474
2019,9,4,19,0.43324453054384393
2019,9,4,20,0.46915997143269084
2019,9,4,21,0.485117565851742
2019,9,4,22,0.4891618534567731
2019,9,4,23,0.48319650984857954
2019,9,4,24,0.47285396116817546
2019,9,5,1,0.4604451721266659
2019,9,5,2,0.4442866562531094
2019,9,5,3,0.42475065381690147
2019,9,5,4,0.4148715189953935
2019,9,5,5,0.3975815243719836
2019,9,5,6,0.33391802621879424
2019,9,5,7,0.29146628714901635
2019,9,5,8,0.2697301225610726
2019,9,5,9,0.24536821839595885
2019,9,5,10,0.21846889620351292
2019,9,5,11,0.1879969459646069
2019,9,5,12,0.16986656017929563
2019,9,5,13,0.1640391847462749
2019,9,5,14,0.16842205974255198
2019,9,5,15,0.1842622121919296
2019,9,5,16,0.23394696645600632
2019,9,5,17,0.33481104895436625
2019,9,5,18,0.40612654823927913
2019,9,5,19,0.4536867458587681
2019,9,5,20,0.47995168309282676
2019,9,5,21,0.4935173836771738
2019,9,5,22,0.49751019943594726
2019,9,5,23,0.49266231682278677
2019,9,5,24,0.4829949748067323
2019,9,6,1,0.46727955378345354
2019,9,6,2,0.44567164701381884
2019,9,6,3,0.42216636530600415
2019,9,6,4,0.40564202364038954
2019,9,6,5,0.3812558432379946
2019,9,6,6,0.3244216668193507
2019,9,6,7,0.29513758681567653
2019,9,6,8,0.275268217364363
2019,9,6,9,0.24745036520265645
2019,9,6,10,0.21780094930375826
2019,9,6,11,0.18992473534490925
2019,9,6,12,0.17179075613377567
2019,9,6,13,0.16382923907849717
2019,9,6,14,0.16916737682971691
2019,9,6,15,0.18719833781147732
2019,9,6,16,0.2327469842308499
2019,9,6,17,0.3095457770792176
2019,9,6,18,0.37822066429430595
2019,9,6,19,0.42455277736236513
2019,9,6,20,0.4567626603721886
2019,9,6,21,0.4780846990281869
2019,9,6,22,0.49152806112962727
2019,9,6,23,0.49652486574545346
2019,9,6,24,0.4965380297230543
2019,9,7,1,0.49280615739947997
2019,9,7,2,0.4821172226440124
2019,9,7,3,0.46815556113242335
2019,9,7,4,0.45759081512961985
2019,9,7,5,0.44172628322817353
2019,9,7,6,0.396968553036768
2019,9,7,7,0.3847537128130334
2019,9,7,8,0.37982177790250826
2019,9,7,9,0.3692453170762115
2019,9,7,10,0.34292493075197894
2019,9,7,11,0.31170600181434127
2019,9,7,12,0.2885176331975569
2019,9,7,13,0.27594438158720297
2019,9,7,14,0.27475797580707106
2019,9,7,15,0.2842383569163953
2019,9,7,16,0.31546955211456684
2019,9,7,17,0.38889964650186326
2019,9,7,18,0.4406283833596411
2019,9,7,19,0.4820183107403992
2019,9,7,20,0.5133679892019046
2019,9,7,21,0.5303182559724459
2019,9,7,22,0.5375676258302539
2019,9,7,23,0.53476184194764
2019,9,7,24,0.5268976242870222
2019,9,8,1,0.5112318204752866
2019,9,8,2,0.48975737225930255
2019,9,8,3,0.46713110058314167
2019,9,8,4,0.4520146564160125
2019,9,8,5,0.4342611324958634
2019,9,8,6,0.3880477659687144
2019,9,8,7,0.4007389140121176
2019,9,8,8,0.4118224670044107
2019,9,8,9,0.38843802617981676
2019,9,8,10,0.35560252855614966
2019,9,8,11,0.32679132613895123
2019,9,8,12,0.30702528841777715
2019,9,8,13,0.29667885639313346
2019,9,8,14,0.29401020850792325
2019,9,8,15,0.30105727503004903
2019,9,8,16,0.3405155602839461
2019,9,8,17,0.4479422432649823
2019,9,8,18,0.5050552846349717
2019,9,8,19,0.5403084257693908
2019,9,8,20,0.557090758868335
2019,9,8,21,0.5603984736603932
2019,9,8,22,0.5571515266746886
2019,9,8,23,0.5461227923049669
2019,9,8,24,0.5235949068116138
2019,9,9,1,0.4953176882133861
2019,9,9,2,0.4690104298568197
2019,9,9,3,0.4439091202154967
2019,9,9,4,0.4256557088390026
2019,9,9,5,0.4135957823620959
2019,9,9,6,0.357652480794955
2019,9,9,7,0.3294881647782616
2019,9,9,8,0.31975930226012883
2019,9,9,9,0.29863466522368043
2019,9,9,10,0.2659339028738441
2019,9,9,11,0.240022843759038
2019,9,9,12,0.22323677476889503
2019,9,9,13,0.2157854743076471
2019,9,9,14,0.2170426426319872
2019,9,9,15,0.22635891189134963
2019,9,9,16,0.2612813115574335
2019,9,9,17,0.32923643241363204
2019,9,9,18,0.3843319843521875
2019,9,9,19,0.4203345889453885
2019,9,9,20,0.43512351183574915
2019,9,9,21,0.4348122292983678
2019,9,9,22,0.423241120652956
2019,9,9,23,0.41035762998506936
2019,9,9,24,0.39568336288168743
2019,9,10,1,0.38200885253698885
2019,9,10,2,0.36848506301523926
2019,9,10,3,0.35414986350052813
2019,9,10,4,0.3476113212111801
2019,9,10,5,0.34016924900695655
2019,9,10,6,0.28590285748417305
2019,9,10,7,0.23962285574229242
2019,9,10,8,0.22207341528715124
2019,9,10,9,0.20008593784588652
2019,9,10,10,0.18579182344203823
2019,9,10,11,0.17200403764024885
2019,9,10,12,0.16316291242971648
2019,9,10,13,0.15984793501302422
2019,9,10,14,0.16304674460322977
2019,9,10,15,0.17446256321852313
2019,9,10,16,0.20939916566155375
2019,9,10,17,0.2594490398432882
2019,9,10,18,0.3065067253949215
2019,9,10,19,0.3449636594372437
2019,9,10,20,0.37183886584191284
2019,9,10,21,0.38624091768557617
2019,9,10,22,0.3884742432409358
2019,9,10,23,0.3836991377181941
2019,9,10,24,0.374405695295461
2019,9,11,1,0.3623875191176818
2019,9,11,2,0.346853143592339
2019,9,11,3,0.32779149904799104
2019,9,11,4,0.31908490082186564
2019,9,11,5,0.3150384694777937
2019,9,11,6,0.26409122066692164
2019,9,11,7,0.21563719224550507
2019,9,11,8,0.19389794606468655
2019,9,11,9,0.18513176692484185
2019,9,11,10,0.17500071428455638
2019,9,11,11,0.16698173827286075
2019,9,11,12,0.16441626189601338
2019,9,11,13,0.16697491760739205
2019,9,11,14,0.1735689862622495
2019,9,11,15,0.18606119173294364
2019,9,11,16,0.22027616977464407
2019,9,11,17,0.2746071630022123
2019,9,11,18,0.3286271275587114
2019,9,11,19,0.3748931554743212
2019,9,11,20,0.40170950645947845
2019,9,11,21,0.4123187610994188
2019,9,11,22,0.41502078656748614
2019,9,11,23,0.41259969549296655
2019,9,11,24,0.4060085635733189
2019,9,12,1,0.3975100588174966
2019,9,12,2,0.38580633516474694
2019,9,12,3,0.3703495913867277
2019,9,12,4,0.35596437095354
2019,9,12,5,0.3372391073689721
