BEGIN_DATA,,,,
Year,Month,Day,Hour,solar 25% top
2017,7,30,4,0.13596620750001623
2017,7,30,8,1.6223567628204094e-14
2017,7,30,12,1.6223567628204094e-14
2017,7,30,16,0.3942446055000163
2017,7,30,20,0.6984167085000162
2017,7,30,24,0.5362064995000162
2017,7,31,4,0.12491265825001621
2017,7,31,8,1.6210123521265274e-14
2017,7,31,12,1.6210123521265274e-14
2017,7,31,16,0.37364073725001623
2017,7,31,20,0.6887869150000163
2017,7,31,24,0.5662614812500164
2017,8,1,4,0.14012908975001634
2017,8,1,8,1.6338926739356552e-14
2017,8,1,12,1.6338926739356552e-14
2017,8,1,16,0.38050599075001634
2017,8,1,20,0.7121618317500165
2017,8,1,24,0.6500562392500164
2017,8,2,4,0.1558465707500165
2017,8,2,8,1.6507194916526302e-14
2017,8,2,12,1.6507194916526302e-14
2017,8,2,16,0.39403431800001654
2017,8,2,20,0.7195654667500164
2017,8,2,24,0.6394120725000164
2017,8,3,4,0.1299883930000164
2017,8,3,8,1.6411134604044086e-14
2017,8,3,12,1.6411134604044086e-14
2017,8,3,16,0.35957168750001645
2017,8,3,20,0.6577208600000164
2017,8,3,24,0.5508442540000165
2017,8,4,4,0.1062679605000165
2017,8,4,8,1.6502316006750117e-14
2017,8,4,12,1.6502316006750117e-14
2017,8,4,16,0.3538412197500165
2017,8,4,20,0.6589033047500166
2017,8,4,24,0.5235139142500166
2017,8,5,4,0.10157065400001661
2017,8,5,8,1.6605206792918992e-14
2017,8,5,12,1.6605206792918992e-14
2017,8,5,16,0.3780926042500166
2017,8,5,20,0.7207411710000166
2017,8,5,24,0.6263809690000165
2017,8,6,4,0.13389464825001646
2017,8,6,8,1.647141624483428e-14
2017,8,6,12,1.647141624483428e-14
2017,8,6,16,0.4016396497500164
2017,8,6,20,0.7377937745000164
2017,8,6,24,0.6175350242500164
2017,8,7,4,0.12490690850001646
2017,8,7,8,1.6470548883096292e-14
2017,8,7,12,1.6470548883096292e-14
2017,8,7,16,0.3778770862500165
2017,8,7,20,0.7372130837500166
2017,8,7,24,0.6376365547500167
2017,8,8,4,0.14015391100001665
2017,8,8,8,1.6652911688508354e-14
2017,8,8,12,1.6652911688508354e-14
2017,8,8,16,0.39004671625001663
2017,8,8,20,0.7422539425000166
2017,8,8,24,0.6561599107500165
2017,8,9,4,0.1537096465000165
2017,8,9,8,1.6500906543925886e-14
2017,8,9,12,1.6500906543925886e-14
2017,8,9,16,0.4170950160000165
2017,8,9,20,0.7784153087500164
2017,8,9,24,0.7067083475000164
2017,8,10,4,0.1607170002500163
2017,8,10,8,1.6306400674181987e-14
2017,8,10,12,1.6306400674181987e-14
2017,8,10,16,0.3877391320000163
2017,8,10,20,0.7300482960000164
2017,8,10,24,0.6280323592500164
2017,8,11,4,0.1351942285000163
2017,8,11,8,1.631659217460335e-14
2017,8,11,12,1.631659217460335e-14
2017,8,11,16,0.34853015100001633
2017,8,11,20,0.6494776252500164
2017,8,11,24,0.5521764797500165
2017,8,12,4,0.12632143000001655
2017,8,12,8,1.6546659875604774e-14
2017,8,12,12,1.6546659875604774e-14
2017,8,12,16,0.3571311402500166
2017,8,12,20,0.7225405682500164
2017,8,12,24,0.6103685852500165
2017,8,13,4,0.13567572750001636
2017,8,13,8,1.6355081351726586e-14
2017,8,13,12,1.6355081351726586e-14
2017,8,13,16,0.3891043067500164
2017,8,13,20,0.7496621887500163
2017,8,13,24,0.6490334562500162
2017,8,14,4,0.1461833917500162
2017,8,14,8,1.621982713070902e-14
2017,8,14,12,1.621982713070902e-14
2017,8,14,16,0.38759729875001625
2017,8,14,20,0.7313528052500162
2017,8,14,24,0.6299529282500163
2017,8,15,4,0.1267434465000163
2017,8,15,8,1.6286234513773756e-14
2017,8,15,12,1.6286234513773756e-14
2017,8,15,16,0.3569041607500163
2017,8,15,20,0.7152464675000163
2017,8,15,24,0.6461458785000163
2017,8,16,4,0.14151654175001632
2017,8,16,8,1.632000741144668e-14
2017,8,16,12,1.632000741144668e-14
2017,8,16,16,0.4053072135000163
2017,8,16,20,0.7941797447500162
2017,8,16,24,0.740195598250016
2017,8,17,4,0.16018086525001615
2017,8,17,8,1.6149625040040583e-14
2017,8,17,12,1.6149625040040583e-14
2017,8,17,16,0.4163280812500162
2017,8,17,20,0.7998437827500162
2017,8,17,24,0.7407623280000162
2017,8,18,4,0.16616636825001618
2017,8,18,8,1.618179873950909e-14
2017,8,18,12,1.618179873950909e-14
2017,8,18,16,0.4118625640000162
2017,8,18,20,0.792339362250016
2017,8,18,24,0.7356366650000161
2017,8,19,4,0.15290190850001611
2017,8,19,8,1.612994677060997e-14
2017,8,19,12,1.612994677060997e-14
2017,8,19,16,0.3590046760000162
2017,8,19,20,0.7313815500000163
2017,8,19,24,0.6424230787500161
2017,8,20,4,0.13242252275001626
2017,8,20,8,1.624622745360904e-14
2017,8,20,12,1.624622745360904e-14
2017,8,20,16,0.3204174460000163
2017,8,20,20,0.6866863352500163
2017,8,20,24,0.5775582052500164
2017,8,21,4,0.11556025275001643
2017,8,21,8,1.6428075262989172e-14
2017,8,21,12,1.6428075262989172e-14
2017,8,21,16,0.3402569912500164
2017,8,21,20,0.7202603275000163
2017,8,21,24,0.6369854540000164
2017,8,22,4,0.12612272550001635
2017,8,22,8,1.63460689211678e-14
2017,8,22,12,1.63460689211678e-14
2017,8,22,16,0.35142624900001634
2017,8,22,20,0.7076256605000164
2017,8,22,24,0.5917577580000165
2017,8,23,4,0.11059305650001648
2017,8,23,8,1.6484399565849794e-14
2017,8,23,12,1.6484399565849794e-14
2017,8,23,16,0.32430922450001654
2017,8,23,20,0.6941152337500167
2017,8,23,24,0.5996872795000167
2017,8,24,4,0.11979122325001648
2017,8,24,8,1.649196187600288e-14
2017,8,24,12,1.649196187600288e-14
2017,8,24,16,0.2963160262500165
2017,8,24,20,0.6696365327500166
2017,8,24,24,0.5865482737500163
2017,8,25,4,0.12470776200001632
2017,8,25,8,1.6325821445596633e-14
2017,8,25,12,1.6325821445596633e-14
2017,8,25,16,0.35933838600001633
2017,8,25,20,0.7696144910000163
2017,8,25,24,0.7030709980000163
2017,8,26,4,0.14070147875001626
2017,8,26,8,1.6255971720634255e-14
2017,8,26,12,1.6255971720634255e-14
2017,8,26,16,0.37734120675001626
2017,8,26,20,0.7737360612500163
2017,8,26,24,0.7214248952500162
2017,8,27,4,0.14043034775001628
2017,8,27,8,1.6289205905352724e-14
2017,8,27,12,1.6289205905352724e-14
2017,8,27,16,0.3820695192500163
2017,8,27,20,0.7787259657500163
2017,8,27,24,0.7295225937500165
2017,8,28,4,0.13904368875001638
2017,8,28,8,1.6377978346356764e-14
2017,8,28,12,1.6377978346356764e-14
2017,8,28,16,0.37886288975001636
2017,8,28,20,0.7670481375000163
2017,8,28,24,0.7118821320000163
2017,8,29,4,0.13194868450001632
2017,8,29,8,1.632974659627421e-14
2017,8,29,12,1.632974659627421e-14
2017,8,29,16,0.3894412780000163
2017,8,29,20,0.7589253880000164
2017,8,29,24,0.6937403167500164
2017,8,30,4,0.12001913750001622
2017,8,30,8,1.622541416002911e-14
2017,8,30,12,1.622541416002911e-14
2017,8,30,16,0.3558346480000162
2017,8,30,20,0.737047939750016
2017,8,30,24,0.6594865162500161
2017,8,31,4,0.10900101875001611
2017,8,31,8,1.6107172595757144e-14
2017,8,31,12,1.6107172595757144e-14
2017,8,31,16,0.3501953822500161
2017,8,31,20,0.7100657927500161
2017,8,31,24,0.6328358940000163
2017,9,1,4,0.10734909800001619
2017,9,1,8,1.6187313771028663e-14
2017,9,1,12,1.6187313771028663e-14
2017,9,1,16,0.3615532095000161
2017,9,1,20,0.7584461450000162
2017,9,1,24,0.7043191527500161
2017,9,2,4,0.12143070850001622
2017,9,2,8,1.6225149885749565e-14
2017,9,2,12,1.6225149885749565e-14
2017,9,2,16,0.3482936015000162
2017,9,2,20,0.7398380102500163
2017,9,2,24,0.6655290852500163
2017,9,3,4,0.10548358700001634
2017,9,3,8,1.6331155635581967e-14
2017,9,3,12,1.6331155635581967e-14
2017,9,3,16,0.3402003777500163
2017,9,3,20,0.7301372105000163
2017,9,3,24,0.6633621762500165
2017,9,4,4,0.0958120257500164
2017,9,4,8,1.6414813056375775e-14
2017,9,4,12,1.6414813056375775e-14
2017,9,4,16,0.3301951650000164
2017,9,4,20,0.7255051757500165
2017,9,4,24,0.6616302375000166
2017,9,5,4,0.09639471050001669
2017,9,5,8,1.6689817681643832e-14
2017,9,5,12,1.6689817681643832e-14
2017,9,5,16,0.3165343260000167
2017,9,5,20,0.7339580900000168
2017,9,5,24,0.6733753755000168
2017,9,6,4,0.10127280675001671
2017,9,6,8,1.671343240434791e-14
2017,9,6,12,1.671343240434791e-14
2017,9,6,16,0.3148143330000167
2017,9,6,20,0.7145186715000167
2017,9,6,24,0.6380076132500166
2017,9,7,4,0.0839207522500166
2017,9,7,8,1.660843944122263e-14
2017,9,7,12,1.660843944122263e-14
2017,9,7,16,0.29338011275001663
2017,9,7,20,0.6929993022500166
2017,9,7,24,0.5776827695000166
2017,9,8,4,0.07661701825001666
2017,9,8,8,1.665156686488591e-14
2017,9,8,12,1.665156686488591e-14
