Demand data from Toktarova 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand (MW)
2019,1,19,6,0.9634085603683731
2019,1,19,7,0.9637335896147984
2019,1,19,8,0.9640893763328329
2019,1,19,9,0.964472884951984
2019,1,19,10,0.9648810352610167
2019,1,19,11,0.9653107024079529
2019,1,19,12,0.9657587169000728
2019,1,19,13,0.966221864603913
2019,1,19,14,0.9666970206674965
2019,1,19,15,0.9671810602388452
2019,1,19,16,0.9676710370289514
2019,1,19,17,0.9681639601080653
2019,1,19,18,0.968657106390892
2019,1,19,19,0.9691477527921364
2019,1,19,20,0.9696333547894739
2019,1,19,21,0.9701015915379638
2019,1,19,22,0.9705524630376059
2019,1,19,23,0.9709979776481436
2019,1,19,24,0.9714381353695765
2019,1,20,1,0.9718665972164638
2019,1,20,2,0.9722775152515339
2019,1,20,3,0.9726689252821143
2019,1,20,4,0.9730308724226192
2019,1,20,5,0.9733717937733882
2019,1,20,6,0.9736908411603133
2019,1,20,7,0.9739875235352264
2019,1,20,8,0.975613428659976
2019,1,20,9,0.977181122256455
2019,1,20,10,0.9787461374083817
2019,1,20,11,0.9804095407568639
2019,1,20,12,0.9822998976404134
2019,1,20,13,0.9845438538456133
2019,1,20,14,0.9872327889724403
2019,1,20,15,0.9903945588442385
2019,1,20,16,0.9939782730145139
2019,1,20,17,0.9978564375225757
2019,1,20,18,1.0018450432276784
2019,1,20,19,1.005736957084442
2019,1,20,20,1.0093396435702964
2019,1,20,21,1.0123471350358801
2019,1,20,22,1.0146143490679425
2019,1,20,23,1.0163935058618279
2019,1,20,24,1.0180001261858005
2019,1,21,1,1.0195167061320725
2019,1,21,2,1.020919228981158
2019,1,21,3,1.022269388239245
2019,1,21,4,1.023676598366297
2019,1,21,5,1.0251384487622164
2019,1,21,6,1.0266353867817712
2019,1,21,7,1.0281314319864754
2019,1,21,8,1.0282495960319757
2019,1,21,9,1.0283869555967675
2019,1,21,10,1.0285456087957507
2019,1,21,11,1.0287276091030815
2019,1,21,12,1.0289352778373722
2019,1,21,13,1.0291711148802047
2019,1,21,14,1.029437396909449
2019,1,21,15,1.0297358202733211
2019,1,21,16,1.03006759027187
2019,1,21,17,1.0304335550792032
2019,1,21,18,1.0308338039768061
2019,1,21,19,1.0312682476831943
2019,1,21,20,1.0317369754798522
2019,1,21,21,1.032333018674231
2019,1,21,22,1.0331157048131647
2019,1,21,23,1.0339485671467117
2019,1,21,24,1.0346734881648
2019,1,22,1,1.035309261620038
2019,1,22,2,1.0359553024460595
2019,1,22,3,1.0366441537441762
2019,1,22,4,1.0373577360136597
2019,1,22,5,1.0380989062620318
2019,1,22,6,1.038865744937364
2019,1,22,7,1.0396561539247566
2019,1,22,8,1.0404678565463403
2019,1,22,9,1.0412983529205329
2019,1,22,10,1.0421450092435243
2019,1,22,11,1.0430049238670498
2019,1,22,12,1.0438719810093815
2019,1,22,13,1.0447372078812696
2019,1,22,14,1.045592836993511
2019,1,22,15,1.0464331096903194
2019,1,22,16,1.047254499353034
2019,1,22,17,1.048055889963091
2019,1,22,18,1.0488381743353419
2019,1,22,19,1.0496034952254276
